seed,condition,task,family,probe_accuracy
37,repr_probes_baseline,F_signal,FR,0.9916666746139526
37,repr_probes_baseline,F_signal,RC,0.6499999761581421
37,repr_probes_baseline,F_signal,FC,0.6000000238418579
37,repr_probes_baseline,F_signal,FRC,0.675000011920929
37,repr_probes_baseline,R_signal,F,0.5666666626930237
37,repr_probes_baseline,R_signal,R,0.800000011920929
37,repr_probes_baseline,R_signal,C,0.675000011920929
37,repr_probes_baseline,R_signal,FR,0.6666666865348816
37,repr_probes_baseline,R_signal,RC,0.6583333611488342
37,repr_probes_baseline,R_signal,FC,0.6583333611488342
37,repr_probes_baseline,R_signal,FRC,0.625
37,repr_probes_baseline,C_signal,F,1.0
37,repr_probes_baseline,C_signal,R,0.625
37,repr_probes_baseline,C_signal,C,0.6083333492279053
37,repr_probes_baseline,C_signal,FR,1.0
37,repr_probes_baseline,C_signal,RC,0.6499999761581421
37,repr_probes_baseline,C_signal,FC,0.6166666746139526
37,repr_probes_baseline,C_signal,FRC,0.5833333134651184
37,repr_probes_baseline,final_target,F,1.0
37,repr_probes_baseline,final_target,R,0.800000011920929
37,repr_probes_baseline,final_target,C,0.6083333492279053
37,repr_probes_baseline,final_target,FR,0.8083333373069763
37,repr_probes_baseline,final_target,RC,0.6583333611488342
37,repr_probes_baseline,final_target,FC,0.6000000238418579
37,repr_probes_baseline,final_target,FRC,0.6333333253860474
37,repr_probes_coadapted,F_signal,F,1.0
37,repr_probes_coadapted,F_signal,R,0.6333333253860474
37,repr_probes_coadapted,F_signal,C,0.6333333253860474
37,repr_probes_coadapted,F_signal,FR,0.9916666746139526
37,repr_probes_coadapted,F_signal,RC,0.6666666865348816
37,repr_probes_coadapted,F_signal,FC,0.6166666746139526
37,repr_probes_coadapted,F_signal,FRC,0.675000011920929
37,repr_probes_coadapted,R_signal,F,0.5916666388511658
37,repr_probes_coadapted,R_signal,R,0.7666666507720947
37,repr_probes_coadapted,R_signal,C,0.6499999761581421
37,repr_probes_coadapted,R_signal,FR,0.7166666388511658
37,repr_probes_coadapted,R_signal,RC,0.675000011920929
37,repr_probes_coadapted,R_signal,FC,0.6416666507720947
37,repr_probes_coadapted,R_signal,FRC,0.625
37,repr_probes_coadapted,C_signal,F,1.0
37,repr_probes_coadapted,C_signal,R,0.6333333253860474
37,repr_probes_coadapted,C_signal,C,0.6583333611488342
37,repr_probes_coadapted,C_signal,FR,1.0
37,repr_probes_coadapted,C_signal,RC,0.5916666388511658
37,repr_probes_coadapted,C_signal,FC,0.6166666746139526
37,repr_probes_coadapted,C_signal,FRC,0.550000011920929
37,repr_probes_coadapted,final_target,F,1.0
37,repr_probes_coadapted,final_target,R,0.7666666507720947
37,repr_probes_coadapted,final_target,C,0.6583333611488342
37,repr_probes_coadapted,final_target,FR,0.8500000238418579
37,repr_probes_coadapted,final_target,RC,0.675000011920929
37,repr_probes_coadapted,final_target,FC,0.6166666746139526
37,repr_probes_coadapted,final_target,FRC,0.6833333373069763
